"escola","tipo","uf","medalha_count"
"COLEGIO MILITAR DO RIO DE JANEIRO","F","RJ","70"
"COL MILITAR DE BRASILIA","F","DF","68"
"COLEGIO MILITAR DE PORTO ALEGRE","F","RS","45"
"MILITAR DE CURITIBA, COL","F","PR","33"
"ETAPA COLEGIO DE EFM","P","SP","33"
"ARI DE SA CAVALCANTE SEDE ALDEOTA COLEGIO","P","CE","32"
"COLÉGIO MILITAR DE MANAUS","F","AM","31"
"ENSINO MEDIO AUGUSTINHO BRANDAO","E","PI","29"
"FARIAS BRITO PRE VESTIBULAR ALDEOTA","P","CE","28"
"MILITAR DE FORTALEZA, COLEGIO","F","CE","28"
"COL MILITAR DE BELO HORIZONTE","F","MG","27"
"COLEGIO MILITAR DO RECIFE","F","PE","25"
"COLEGIO PEDRO II ( UNID. SAO CRISTOVAO II )","F","RJ","25"
"COL MILITAR DE JUIZ DE FORA","F","MG","24"
"COL TIRADENTES PMMG","E","MG","23"
"COLÉGIO MILITAR DE CAMPO GRANDE","F","MS","23"
"COLEGIO MILITAR DE SANTA MARIA","F","RS","22"
"COLEGIO MILITAR DE SALVADOR","F","BA","22"
"CETI - MARCANTONIO VILACA II","E","AM","20"
"FARIAS BRITO COLEGIO PRE-VESTIBULAR CENTRAL","P","CE","20"
"EPCAR ESC PREP DE CADETES DO AR","F","MG","20"
"IFES - CAMPUS VITORIA","F","ES","19"
"COLEGIO MILITAR DE BELEM","F","PA","18"
"COL MILITAR TIRADENTES","E","DF","17"
"ETAPA COLEGIO","P","SP","17"
"CEFET CELSO SUCKOW DA FONSECA","F","RJ","16"
"COL NAVAL","F","RJ","15"
"COL BRIGADEIRO NEWTON BRAGA","F","RJ","15"
"IFMG - CAMPUS BETIM","F","MG","14"
"COLEGIO DE APLICACAO DO CE DA UFPE","F","PE","13"
"ESC EST PROF M CRISTINA B RODRIGUES","E","AP","13"
"COLEGIO PEDRO II ( UNID. HUMAITA II)","F","RJ","13"
"COLEGIO DA POLICIA MILITAR DE PERNAMBUCO","E","PE","12"
"COL MILITAR DO CORPO DE BOMBEIRO DO CE.","E","CE","12"
"CAMPINAS COLEGIO TECNICO DE - UNICAMP","E","SP","12"
"ESC MUN ENS FUN BOM PASTOR","M","RS","11"
"ESCOLA DO RECIFE - FCAP UPE","E","PE","11"
"ESCOLA MUNICIPAL JUAREZ TAPETY","M","PI","11"
"POL.MILITAR, C CEL P.M.F.S.MIR.-E F MED","E","PR","11"
